step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s1_stopped,s1_accumulated_waiting_time,s1_average_speed,s1_average_acceleration,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,s3_stopped,s3_accumulated_waiting_time,s3_average_speed,s3_average_acceleration,s4_stopped,s4_accumulated_waiting_time,s4_average_speed,s4_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,5,0,0.0,23.839598367843962,0.0,7.385066374866435,0.615267038103193,4.767919673568793,13220.905955178376,843.3881264523585,4216.940632261792,0.0,0.030685419804905616,0.0,0,0.0,0.8998951970956143,0.3845418988144957,0,0.0,0.8998951970956143,0.3845418988144957,0,0.0,0.8998951970956143,0.3845418988144957,0,0.0,0.8998951970956143,0.3845418988144957,0,0.0,23.839598367843962
10.0,7,0,0.0,-12.875243129435711,0.0,8.905279665887356,-0.3365953919156627,-1.8393204470622444,8540.37749367769,389.1545794515726,2724.082056161008,0.0,0.042841405412218654,0.0,0,0.0,0.9061856561165605,-0.2726469372001745,0,0.0,0.9061856561165605,-0.2726469372001745,0,0.0,0.9061856561165605,-0.2726469372001745,0,0.0,0.9061856561165605,-0.2726469372001745,0,0.0,-12.875243129435711
15.0,9,0,0.0,-12.610879945717416,0.0,7.92347897818547,-0.9002389893511433,-1.401208882857491,12740.439661017619,451.5181690413896,4063.6635213725062,0.0,0.04285681223808344,0.0,0,0.0,0.7674594448897907,-1.0167820665434208,0,0.0,0.7674594448897907,-1.0167820665434208,0,0.0,0.7674594448897907,-1.0167820665434208,0,0.0,0.7674594448897907,-1.0167820665434208,0,0.0,-19.254173856446947
20.0,12,2,4.0,31.173086384501197,0.3333333333333333,7.177201204256092,0.2686945749167107,2.597757198708433,27059.83290536702,719.253905198305,8631.04686237966,0.018677486305995545,0.06771706278064042,0.01226075704021797,1,2.0,0.7729531730583797,0.1484998275239978,1,2.0,0.7729531730583797,0.1484998275239978,0,0.0,0.7729531730583797,0.1484998275239978,0,0.0,0.7729531730583797,0.1484998275239978,2,4.0,22.465702350374556
25.0,18,2,14.0,10.953903552363771,0.7777777777777778,6.961535825469684,-0.42175620735057584,0.608550197353543,37530.290056711565,665.0385274601217,11970.693494282194,0.032917632125088726,0.11247930601642371,0.01226075704021797,1,7.0,0.6926032320169021,-0.2907302984284036,1,7.0,0.6926032320169021,-0.2907302984284036,0,0.0,0.6926032320169021,-0.2907302984284036,0,1.0,0.6926032320169021,-0.2907302984284036,2,15.0,10.953903552363762
30.0,23,6,37.0,-22.80736940388255,1.608695652173913,6.2259344976556,-0.2988180343369649,-0.9916247566905456,40908.08315398369,567.3173494441504,13048.299037215458,0.02586706019392003,0.117522099520133,0.03702311695581285,2,16.0,0.6136315458331522,-0.5311979227853053,3,17.0,0.6136315458331522,-0.5311979227853053,1,4.0,0.6136315458331522,-0.5311979227853053,0,0.0,0.6136315458331522,-0.5311979227853053,6,37.0,-45.4709804901061
35.0,27,2,4.0,63.69137062370049,0.14814814814814814,6.562406241291745,0.13860971208231979,2.3589396527296485,65783.47919702863,777.1241048773336,20982.350831688007,0.038117176969590626,0.12352338020058007,0.012186799259042607,2,14.0,0.6406258831920573,0.034326834199246675,0,12.0,0.6406258831920573,0.034326834199246675,0,0.0,0.6406258831920573,0.034326834199246675,0,0.0,0.6406258831920573,0.034326834199246675,2,26.0,27.80868614000039
40.0,27,3,11.0,190.5537777446469,0.4074074074074074,7.437695650073283,0.43746327157348447,7.057547323875814,93559.39916999363,1105.2392978977343,29841.46104323883,0.07187471610938673,0.1448064025372001,0.018385958030986468,0,6.0,0.6729649208132535,0.22265767716002272,0,2.0,0.6729649208132535,0.22265767716002272,3,13.0,0.6729649208132535,0.22265767716002272,0,0.0,0.6729649208132535,0.22265767716002272,3,21.0,174.42194359351095
45.0,27,6,37.0,-24.719278138845812,1.3703703703703705,6.280329148828283,-0.7944112529425867,-0.915528819957252,57277.438581739036,676.6397279678657,18269.272655132376,0.09903795663068991,0.14831510433530484,0.037763336294524046,0,0.0,0.4174171899680776,-0.8856014618204316,0,2.0,0.4174171899680776,-0.8856014618204316,5,33.0,0.4174171899680776,-0.8856014618204316,1,4.0,0.4174171899680776,-0.8856014618204316,6,39.0,-25.61551023230171
50.0,30,12,76.0,-44.59427215182664,2.533333333333333,5.039111698196858,-0.23040039204109555,-1.4864757383942215,57977.8573652504,616.435791787208,18493.073753616238,0.08627264238233255,0.1541371207296618,0.07687714241465625,1,1.0,0.5909080906593449,-0.3082768249819219,3,11.0,0.5909080906593449,-0.3082768249819219,8,66.0,0.5909080906593449,-0.3082768249819219,0,0.0,0.5909080906593449,-0.3082768249819219,12,78.0,-67.80466993014714
