Q-tables,States,Actions
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.005826935027702224,-0.006088536088765143
"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",-0.00025015170043529017,-0.0026386000000000005
"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]",-0.010000000000000002,-0.01365141470819313
"[0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]",-0.006263934812076485,-0.01179400935556586
"[0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0]",-0.008568000839400004,-0.008810526939400001
"[0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0]",-0.017666666666666667,-0.018756085372757244
"[0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0]",0.029400000000000006,-0.005000000000000001
"[0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 1.0]",-0.0162772,-0.017517799088598553
"[0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 2.0]",0.033,0.0
"[0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 3.0]",-0.025,0.0
"[0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 1.0]",-0.013000000000000001,-0.023109
"[0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 2.0]",-0.035,-0.03
"[0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0]",-0.03355289500000001,-0.035468
"[0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 2.0]",-0.008430663480000006,-0.0272406386068
"[0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0]",-0.012,0.0
"[0.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0, 2.0]",0.057775090000000015,-0.06465
"[0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 0.0, 2.0]",-0.028000000000000004,0.0
"[0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 0.0, 3.0]",0.048,0.0
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",-0.008818300481150003,-0.006947324841550001
"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",-0.009998750000000008,-0.012824700057260895
"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]",-0.015000000000000036,0.0
"[0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0]",-0.012999999999999998,-0.00582768407
"[0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0]",-0.02397363518713147,-0.015495595500000004
"[0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 2.0]",-0.020999999999999998,-0.0094074855
"[0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0]",-0.023,0.0
"[0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 2.0]",-0.025,0.0
"[0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0]",-0.012,0.0
"[0.0, 0.0, 0.0, 1.0, 5.0, 0.0, 0.0, 0.0]",-0.008000000000000007,-0.0004759999999999959
"[0.0, 0.0, 0.0, 1.0, 5.0, 0.0, 0.0, 2.0]",-0.029999999999999985,-0.022
"[0.0, 0.0, 0.0, 1.0, 5.0, 0.0, 0.0, 3.0]",-0.03400000000000001,0.0
"[0.0, 0.0, 0.0, 1.0, 6.0, 0.0, 0.0, 0.0]",0.0,0.0
"[0.0, 0.0, 0.0, 1.0, 6.0, 0.0, 0.0, 1.0]",-0.007999999999999985,0.0
"[0.0, 0.0, 0.0, 1.0, 7.0, 0.0, 0.0, 2.0]",-0.03600000000000001,0.0
